SIZE_0,SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_4,SHAPE_7,SHAPE_8,SHAPE_9
189.6,0.574,0.465,2.277,1.120,1.788,0.974,3.195
184.0,0.620,0.456,2.389,1.056,1.793,0.873,3.059
186.6,0.494,0.450,2.363,1.147,1.851,0.942,3.219
194.1,0.493,0.457,2.244,1.107,1.892,0.934,3.232
199.3,0.763,0.445,2.105,1.030,1.412,1.036,3.325
171.0,0.521,0.472,2.292,1.167,1.792,0.834,3.212
183.3,0.482,0.471,2.357,1.250,1.898,0.915,3.164
182.8,0.487,0.466,2.339,1.197,1.848,0.907,3.220
194.5,0.533,0.455,2.276,1.196,1.706,0.910,3.118
185.6,0.563,0.490,2.337,1.119,1.666,0.938,3.400
180.4,0.557,0.479,2.419,1.152,1.764,0.904,3.217
191.9,0.510,0.461,2.279,1.102,1.847,0.822,3.155
182.6,0.525,0.482,2.345,1.215,1.748,0.908,3.253
189.2,0.703,0.467,2.211,1.031,1.460,0.971,3.182
186.5,0.495,0.492,2.387,1.158,1.823,0.905,3.399
198.4,0.511,0.452,2.264,1.050,1.777,0.832,3.206
187.3,0.490,0.472,2.426,1.169,1.828,0.853,3.295
188.5,0.528,0.461,2.355,1.067,1.751,0.926,3.286
184.7,0.440,0.471,2.494,1.212,1.935,0.949,3.308
196.1,0.516,0.448,2.272,1.221,1.855,0.930,3.213
189.6,0.704,0.472,2.168,1.078,1.559,0.924,3.335
191.0,0.615,0.463,2.246,1.075,1.717,0.874,3.236
185.9,0.564,0.473,2.399,1.132,1.789,0.896,3.178
185.0,0.522,0.479,2.355,1.150,1.737,0.855,3.260
186.1,0.569,0.458,2.455,1.154,1.733,1.010,3.028
188.1,0.555,0.458,2.348,1.083,1.723,0.929,3.214
197.8,0.599,0.465,2.326,1.084,1.659,0.886,3.213
180.0,0.568,0.444,2.215,1.165,1.787,0.906,3.056
177.0,0.592,0.451,2.253,1.061,1.810,0.869,3.129
189.7,0.554,0.473,2.586,1.027,1.837,0.863,3.300
200.0,0.759,0.442,2.266,0.962,1.539,0.935,3.199
178.2,0.578,0.447,2.328,1.142,1.754,0.946,3.285
208.6,0.680,0.451,2.392,0.976,1.560,0.945,3.025
199.5,0.511,0.456,2.389,1.097,1.773,0.895,3.127
178.8,0.526,0.457,2.305,1.105,1.846,0.964,3.250
207.9,0.675,0.430,2.245,1.054,1.744,0.975,2.971
190.3,0.631,0.452,2.350,1.023,1.702,0.950,3.217
201.6,0.555,0.453,2.181,1.099,1.642,0.908,3.119
195.8,0.606,0.456,2.309,1.057,1.717,0.977,3.169
188.8,0.538,0.447,2.257,0.976,1.775,0.877,3.187
185.3,0.501,0.470,2.356,1.173,1.787,0.892,3.317
190.6,0.463,0.454,2.504,1.217,1.920,0.900,3.196
211.1,0.753,0.462,2.228,0.901,1.397,0.858,3.208
195.4,0.509,0.459,2.364,1.193,1.695,0.875,3.174
192.1,0.510,0.472,2.403,1.104,1.736,0.945,3.162
205.1,0.580,0.461,2.251,1.085,1.599,0.907,3.240
192.9,0.553,0.440,2.268,1.062,1.627,0.910,3.209
193.2,0.614,0.443,2.260,1.087,1.578,0.921,3.098
194.5,0.627,0.467,2.325,1.042,1.680,0.847,3.329
175.8,0.514,0.454,2.496,1.194,1.824,0.969,3.258
212.1,0.656,0.471,2.318,0.948,1.600,0.913,3.197
182.0,0.552,0.443,2.322,1.129,1.834,0.952,3.145
197.6,0.707,0.457,2.210,1.070,1.566,0.986,3.088
186.6,0.646,0.450,2.347,1.089,1.727,0.919,3.064
185.1,0.536,0.475,2.405,1.154,1.730,0.938,3.268
197.2,0.614,0.453,2.312,1.014,1.644,0.852,3.191
198.3,0.659,0.464,2.161,1.036,1.628,0.907,3.233
202.9,0.591,0.460,2.499,0.864,1.709,0.811,3.212
188.1,0.514,0.434,2.395,1.081,1.729,0.952,3.112
189.0,0.624,0.458,2.240,1.080,1.592,0.898,3.095
190.2,0.580,0.464,2.377,1.040,1.810,0.879,3.135
179.9,0.524,0.471,2.295,1.032,1.847,0.840,3.214
184.2,0.499,0.457,2.313,1.179,1.810,0.865,3.071
191.1,0.525,0.446,2.263,1.139,1.702,0.853,3.020
185.9,0.556,0.447,2.267,1.126,1.663,0.897,3.227
186.2,0.528,0.466,2.320,1.157,1.815,0.910,3.280
224.0,0.775,0.451,2.311,0.829,1.459,0.868,3.204
179.9,0.529,0.458,2.274,1.141,1.821,0.932,3.231
184.7,0.535,0.469,2.386,1.153,1.768,0.911,3.167
174.1,0.473,0.476,2.406,1.246,2.045,0.884,3.269
181.2,0.460,0.463,2.443,1.175,1.884,0.907,3.179
199.3,0.515,0.448,2.310,1.179,1.805,0.898,3.136
193.8,0.507,0.461,2.405,1.020,1.828,0.886,3.089
181.1,0.551,0.468,2.396,1.098,1.871,0.860,3.324
193.3,0.529,0.464,2.279,1.096,1.722,0.892,3.293
185.2,0.569,0.454,2.437,1.082,1.614,0.911,3.219
191.3,0.523,0.457,2.290,1.222,1.676,0.875,3.167
196.6,0.490,0.451,2.361,1.101,1.808,0.877,3.242
188.3,0.573,0.444,2.339,1.145,1.803,0.934,3.112
186.2,0.588,0.436,2.252,1.105,1.739,0.979,3.081
190.5,0.527,0.443,2.384,1.199,1.757,0.987,2.968
179.1,0.494,0.451,2.235,1.112,1.994,0.901,3.183
197.0,0.526,0.477,2.318,1.122,1.722,0.824,3.229
191.7,0.615,0.446,2.291,1.034,1.595,0.826,3.184
203.3,0.639,0.465,2.212,0.993,1.641,0.870,3.137
192.2,0.583,0.445,2.325,1.037,1.688,0.883,3.231
178.5,0.603,0.470,2.232,1.085,1.641,0.969,3.142
190.8,0.511,0.464,2.296,1.131,1.778,0.845,3.276
196.7,0.482,0.458,2.315,1.133,1.801,0.827,3.102
180.0,0.535,0.461,2.443,1.081,1.826,0.866,3.238
198.8,0.619,0.445,2.238,0.999,1.791,0.954,3.123
187.2,0.473,0.448,2.446,1.222,1.845,0.935,3.174
183.5,0.591,0.453,2.194,1.053,1.552,0.884,3.124
194.1,0.620,0.463,2.403,0.999,1.783,0.869,3.174
188.1,0.500,0.477,2.447,1.135,1.794,0.923,3.325
182.0,0.598,0.462,2.327,0.971,1.608,0.893,3.276
194.7,0.480,0.473,2.373,1.143,1.858,0.906,3.240
190.9,0.492,0.461,2.368,1.113,1.812,0.841,3.177
182.7,0.539,0.464,2.292,1.014,1.956,0.830,3.347
196.8,0.624,0.471,2.352,1.039,1.779,0.887,3.244
187.4,0.733,0.442,2.272,1.028,1.551,0.995,3.224
189.0,0.502,0.460,2.360,1.204,1.848,0.950,3.180
182.2,0.485,0.450,2.296,1.244,1.831,0.901,3.193
187.3,0.527,0.477,2.289,1.192,1.744,0.881,3.347
187.5,0.543,0.446,2.375,1.066,1.705,0.929,3.049
218.1,0.805,0.449,2.175,0.953,1.318,0.951,3.040
206.5,0.629,0.440,2.269,0.905,1.662,0.902,3.136
183.5,0.531,0.459,2.426,1.135,1.751,0.950,3.114
193.2,0.695,0.465,2.229,1.042,1.637,0.931,3.301
200.6,0.510,0.472,2.357,1.240,1.773,0.855,3.101
179.2,0.564,0.459,2.194,1.048,1.838,0.839,3.115
193.9,0.523,0.453,2.279,1.181,1.616,0.891,3.122
190.5,0.504,0.476,2.383,1.093,1.878,0.865,3.187
197.5,0.493,0.445,2.443,1.145,1.767,0.883,2.985
185.4,0.483,0.476,2.461,1.214,1.881,0.946,3.213
207.8,0.675,0.450,2.249,0.966,1.480,0.904,3.186
190.7,0.554,0.464,2.316,1.060,1.758,0.912,3.160
189.6,0.576,0.479,2.289,1.042,1.772,0.835,3.230
189.3,0.610,0.469,2.262,1.107,1.716,0.968,3.274
176.5,0.506,0.471,2.353,1.142,1.848,0.909,3.286
186.2,0.551,0.459,2.354,1.083,1.812,0.896,3.173
195.2,0.502,0.460,2.320,1.151,1.835,0.882,3.113
192.9,0.492,0.460,2.286,1.176,1.885,0.958,3.094
205.1,0.628,0.466,2.354,1.036,1.719,0.901,3.219
185.7,0.565,0.471,2.314,1.069,1.647,0.906,3.173
202.5,0.716,0.479,2.152,0.979,1.533,0.868,3.413
194.3,0.544,0.445,2.461,1.022,1.687,0.883,3.005
179.2,0.504,0.459,2.355,1.119,1.901,0.871,3.145
179.4,0.547,0.463,2.362,1.203,1.923,0.949,3.157
185.7,0.553,0.465,2.334,1.129,1.698,0.887,3.208
189.6,0.579,0.444,2.223,1.036,1.784,0.829,3.024
189.1,0.494,0.479,2.359,1.171,1.755,0.885,3.126
206.4,0.512,0.440,2.312,1.189,1.797,0.902,2.983
180.2,0.492,0.455,2.453,1.239,1.837,0.930,3.175
201.2,0.688,0.469,2.218,1.058,1.529,0.978,3.088
190.0,0.549,0.449,2.277,1.004,1.937,0.828,3.164
185.8,0.534,0.448,2.395,1.183,1.657,0.900,3.170
204.0,0.714,0.467,2.270,0.862,1.569,0.861,3.141
187.8,0.484,0.464,2.374,1.183,1.814,0.913,3.110
228.3,0.865,0.471,2.177,0.842,1.313,0.860,3.307
191.7,0.613,0.442,2.267,0.988,1.749,0.879,3.076
176.5,0.602,0.467,2.439,1.063,1.818,0.944,3.261
186.8,0.509,0.468,2.370,1.090,1.857,0.896,3.150
180.5,0.489,0.478,2.408,1.167,1.923,0.838,3.212
183.3,0.558,0.483,2.325,1.086,1.695,0.866,3.165
187.7,0.600,0.484,2.283,1.061,1.699,0.861,3.269
176.5,0.521,0.468,2.453,1.142,1.799,0.927,3.248
220.7,0.884,0.483,2.295,0.860,1.372,0.946,3.304
203.0,0.563,0.453,2.256,1.062,1.653,0.858,3.097
193.2,0.471,0.472,2.496,1.012,1.842,0.867,3.134
205.5,0.506,0.445,2.260,1.156,1.676,0.900,3.295
183.2,0.641,0.459,2.294,1.047,1.576,0.961,3.117
187.9,0.538,0.459,2.305,1.187,1.705,0.941,3.179
197.1,0.547,0.460,2.338,1.016,1.753,0.870,3.142
194.3,0.582,0.459,2.281,1.108,1.653,0.883,3.115
190.6,0.656,0.460,2.220,1.017,1.644,0.942,3.222
188.1,0.528,0.450,2.335,1.144,1.713,0.942,3.077
188.2,0.493,0.440,2.429,1.192,1.912,0.929,3.124
191.9,0.639,0.455,2.362,1.101,1.726,0.934,3.099
200.0,0.571,0.457,2.373,1.112,1.712,0.903,3.263
186.5,0.540,0.465,2.289,1.171,1.807,0.932,3.270
194.5,0.569,0.443,2.249,1.196,1.695,0.957,3.092
208.0,0.684,0.464,2.388,0.994,1.587,0.872,3.193
192.7,0.507,0.471,2.325,1.065,1.804,0.866,3.215
197.5,0.596,0.450,2.311,0.982,1.717,0.878,3.068
186.4,0.637,0.451,2.258,1.060,1.769,0.957,3.178
195.4,0.546,0.464,2.285,1.144,1.863,0.933,3.113
193.1,0.548,0.466,2.235,1.147,1.829,0.918,3.228
197.7,0.514,0.448,2.296,1.221,1.853,0.942,3.395
198.4,0.520,0.480,2.446,1.063,1.889,0.839,3.267
195.4,0.509,0.463,2.323,1.140,1.828,0.875,3.184
190.9,0.712,0.461,2.320,1.029,1.589,0.924,3.186
192.0,0.505,0.483,2.488,1.124,1.829,0.853,3.304
188.9,0.590,0.465,2.262,1.134,1.702,0.951,3.206
194.1,0.486,0.446,2.369,1.155,1.840,0.932,3.161
191.1,0.621,0.464,2.259,1.071,1.689,0.893,3.006
190.9,0.532,0.445,2.464,1.057,1.792,0.926,3.101
172.4,0.555,0.470,2.348,1.138,1.738,0.897,3.272
197.6,0.487,0.462,2.503,1.179,1.662,0.935,3.184
179.1,0.521,0.453,2.366,1.166,1.815,0.850,3.092
212.6,0.756,0.459,2.241,0.959,1.439,0.938,3.184
191.0,0.720,0.469,2.214,0.971,1.667,0.924,3.199
214.9,0.759,0.443,2.278,0.881,1.473,0.817,3.145
204.4,0.562,0.450,2.287,1.027,1.590,0.899,3.040
196.3,0.542,0.444,2.261,1.110,1.573,0.835,3.250
179.0,0.552,0.449,2.372,0.984,1.871,0.896,3.207
182.1,0.557,0.461,2.454,1.134,1.836,0.913,3.191
196.8,0.491,0.445,2.317,1.096,1.823,0.884,3.162
194.8,0.542,0.455,2.236,1.097,1.761,0.931,3.158
181.5,0.485,0.470,2.375,1.179,1.887,0.911,3.388
194.3,0.575,0.433,2.296,1.045,1.721,0.927,2.968
181.8,0.525,0.472,2.392,1.114,1.780,0.937,3.348
190.7,0.598,0.471,2.390,1.111,1.749,0.976,3.272
188.6,0.518,0.466,2.410,1.217,1.875,0.914,3.054
190.1,0.585,0.455,2.249,0.963,1.540,0.875,3.185
182.6,0.517,0.465,2.456,1.195,1.920,0.939,3.186
187.9,0.527,0.455,2.212,1.178,1.735,0.869,3.217
207.5,0.724,0.442,2.295,0.870,1.758,0.857,2.915
201.4,0.562,0.457,1.799,1.104,1.803,0.949,3.300
190.2,0.528,0.459,2.450,1.003,1.914,0.915,3.132
189.2,0.477,0.445,2.304,1.255,1.830,0.899,3.009
189.0,0.490,0.449,2.353,1.099,1.827,0.898,3.160
201.2,0.547,0.456,2.375,1.085,1.692,0.890,3.158
203.4,0.668,0.439,2.323,0.920,1.475,0.843,3.160
186.2,0.534,0.443,2.364,1.384,1.705,0.948,3.111
184.8,0.558,0.475,2.361,1.134,1.613,0.994,3.309
196.7,0.497,0.439,2.394,0.988,1.939,0.859,3.124
188.8,0.487,0.450,2.434,1.096,1.889,0.889,3.183
184.2,0.512,0.465,2.246,1.160,1.777,0.866,3.121
189.3,0.496,0.438,2.328,1.248,1.830,0.924,2.997
177.0,0.528,0.464,2.386,1.105,1.947,0.893,3.182
181.7,0.623,0.471,2.374,1.004,1.649,0.928,3.297
179.5,0.547,0.465,2.400,1.115,1.804,0.934,3.208
188.2,0.489,0.470,2.408,1.264,1.858,0.921,3.256
193.5,0.535,0.451,2.274,1.153,1.680,0.954,3.226
190.4,0.550,0.454,2.352,1.142,1.666,0.912,3.173
200.0,0.502,0.448,2.410,1.158,1.804,0.873,3.176
185.3,0.480,0.477,2.389,1.177,1.888,0.900,3.255
176.5,0.497,0.475,2.401,1.189,1.874,0.905,3.194
189.4,0.496,0.457,2.441,1.168,1.763,0.837,3.090
192.8,0.607,0.475,2.328,1.012,1.730,0.840,3.296
199.7,0.507,0.449,2.271,1.211,1.762,0.897,3.256
174.7,0.534,0.474,2.348,1.147,1.860,0.905,3.232
189.5,0.524,0.467,2.360,1.174,1.737,0.849,3.262
184.8,0.517,0.491,2.418,1.088,1.751,0.877,3.429
183.7,0.537,0.463,2.366,1.119,1.817,0.886,3.202
189.1,0.617,0.449,2.281,1.036,1.697,0.875,3.126
190.1,0.552,0.456,2.366,1.204,1.787,0.979,3.208
190.3,0.523,0.466,2.334,1.146,1.764,0.876,3.306
200.2,0.548,0.447,2.307,1.133,1.631,0.958,3.288
175.5,0.565,0.482,2.231,1.178,1.734,0.880,3.211
198.4,0.513,0.452,2.243,1.003,1.837,0.841,3.174
179.8,0.484,0.468,2.368,1.156,1.844,0.876,3.079
194.1,0.550,0.480,2.283,1.140,1.615,0.877,3.307
190.5,0.489,0.469,2.390,1.240,1.799,0.872,3.220
200.8,0.508,0.458,2.293,1.169,1.847,0.878,3.300
184.5,0.545,0.456,2.262,0.984,1.802,0.915,3.141
196.8,0.600,0.479,2.370,1.049,1.711,0.879,3.156
191.7,0.562,0.467,2.341,0.962,1.728,0.832,3.239
206.6,0.742,0.467,2.283,0.876,1.493,0.748,3.131
196.0,0.692,0.456,2.240,1.153,1.430,1.025,2.971
190.2,0.579,0.478,2.212,1.088,1.746,0.971,3.324
215.8,0.650,0.451,2.164,0.991,1.555,0.979,3.101
184.7,0.496,0.460,2.478,1.227,1.680,0.967,3.100
194.6,0.626,0.471,2.213,1.066,1.708,0.869,3.264
186.7,0.511,0.464,2.468,1.130,1.825,0.876,3.211
192.8,0.514,0.460,2.372,1.212,1.894,0.917,3.195
190.6,0.584,0.473,2.176,1.090,1.697,0.868,3.163
200.9,0.634,0.460,2.290,1.080,1.518,0.848,3.324
196.0,0.607,0.474,2.314,1.055,1.606,0.910,3.125
203.4,0.731,0.471,2.248,0.888,1.527,0.876,3.346
174.5,0.492,0.474,2.358,1.141,1.946,0.847,3.263
204.0,0.534,0.454,2.345,1.148,1.828,0.907,3.208
195.0,0.694,0.463,2.259,1.036,1.647,1.005,3.183
203.5,0.705,0.463,2.181,0.942,1.480,0.955,3.203
194.8,0.717,0.485,2.406,1.054,1.582,0.958,3.499
199.3,0.658,0.455,2.295,0.957,1.473,0.834,3.165
203.2,0.489,0.472,2.366,1.099,1.814,0.857,3.298
216.6,0.713,0.455,2.199,0.958,1.452,0.876,3.105
184.6,0.499,0.476,2.471,1.204,1.762,0.843,3.328
191.9,0.670,0.461,2.226,0.986,1.683,0.933,3.217
199.6,0.762,0.487,2.192,1.022,1.534,0.997,3.337
184.8,0.587,0.471,2.345,1.114,1.652,0.943,3.217
223.0,0.719,0.463,2.179,0.925,1.577,0.823,3.210
184.7,0.553,0.454,2.300,1.145,1.773,0.983,3.146
180.0,0.506,0.457,2.295,1.170,1.871,0.841,3.124
191.0,0.608,0.470,2.280,0.983,1.791,0.854,3.302
201.3,0.720,0.453,2.325,0.933,1.586,0.878,3.149
189.4,0.521,0.477,2.374,1.098,1.820,0.852,3.166
194.6,0.484,0.451,2.392,1.079,1.951,0.839,3.059
220.5,0.794,0.459,2.043,1.018,1.298,0.964,3.341
175.1,0.502,0.477,2.394,1.126,1.820,0.856,3.173
194.9,0.604,0.463,2.209,1.136,1.779,0.925,3.156
187.3,0.483,0.455,2.406,1.171,1.830,0.885,3.072
203.9,0.716,0.470,2.279,0.905,1.599,0.811,3.354
200.1,0.504,0.469,2.509,1.174,1.637,0.873,3.265
184.3,0.665,0.481,2.256,0.983,1.652,0.818,3.295
196.8,0.741,0.484,2.314,0.989,1.498,0.928,3.175
185.9,0.543,0.472,2.440,1.041,1.883,0.907,3.233
191.4,0.590,0.452,2.381,1.114,1.783,0.974,3.097
200.7,0.654,0.475,2.193,1.045,1.477,0.921,3.252
213.7,0.779,0.453,2.113,0.983,1.474,0.990,3.182
184.7,0.496,0.458,2.387,1.135,1.879,0.887,3.219
208.9,0.764,0.469,2.262,0.830,1.489,0.855,3.415
182.6,0.511,0.460,2.439,1.086,1.815,0.886,3.247
195.7,0.678,0.468,2.318,1.076,1.443,0.956,3.328
200.8,0.726,0.462,2.293,0.880,1.592,0.838,3.231
212.2,0.556,0.437,2.181,1.042,1.790,0.904,3.203
194.9,0.615,0.466,2.281,0.978,1.456,0.857,3.208
181.3,0.544,0.460,2.366,1.128,1.822,0.916,3.149
211.2,0.631,0.452,2.385,0.987,1.649,0.877,3.183
174.1,0.508,0.462,2.400,1.207,1.883,0.884,3.162
181.9,0.531,0.477,2.342,1.210,1.851,0.944,3.310
191.9,0.569,0.452,2.278,1.042,1.629,0.826,3.217
182.9,0.492,0.457,2.414,1.189,1.863,0.887,3.168
215.1,0.588,0.441,2.400,1.014,1.745,0.911,3.182
186.2,0.483,0.467,2.317,1.268,1.955,0.878,3.259
206.3,0.534,0.434,2.243,1.088,1.682,0.929,3.083
219.0,0.829,0.453,2.146,0.889,1.437,0.958,3.218
182.1,0.545,0.487,2.489,1.037,1.876,0.886,3.293
192.7,0.457,0.456,2.409,1.169,1.998,0.841,3.032
197.6,0.474,0.469,2.525,1.068,1.741,0.877,3.314
194.5,0.589,0.452,2.365,1.085,1.604,0.958,3.155
194.8,0.654,0.463,2.388,1.072,1.636,0.971,3.219
203.3,0.490,0.469,2.286,1.117,1.794,0.891,3.174
212.0,0.690,0.455,2.207,1.099,1.421,0.927,3.189
199.3,0.641,0.442,2.323,1.015,1.601,0.910,3.096
197.2,0.673,0.448,2.308,1.021,1.477,0.838,3.210
190.7,0.547,0.461,2.354,1.168,1.812,0.962,3.169
208.0,0.694,0.456,2.205,0.968,1.507,0.929,3.259
188.5,0.607,0.464,2.244,1.044,1.792,0.902,3.213
191.1,0.475,0.451,2.315,1.170,1.789,0.883,3.140
185.7,0.584,0.480,2.355,1.148,1.733,0.898,3.254
181.5,0.561,0.471,2.287,1.075,1.726,0.821,3.252
196.0,0.520,0.472,2.476,1.141,1.797,0.892,3.320
180.2,0.502,0.461,2.502,1.330,1.760,0.958,3.212
192.0,0.561,0.464,2.259,1.077,1.731,0.909,3.231
177.3,0.714,0.483,2.047,1.121,1.430,0.999,3.324
194.2,0.567,0.439,2.309,1.137,1.703,0.930,3.284
185.8,0.580,0.449,2.281,1.073,1.694,0.959,3.199
179.8,0.502,0.474,2.344,1.101,1.779,0.884,3.267
192.2,0.584,0.430,2.315,1.159,1.719,0.988,3.047
205.6,0.583,0.436,2.367,1.130,1.758,0.934,3.091
196.7,0.520,0.449,2.305,1.173,1.743,0.876,3.290
185.7,0.615,0.459,2.380,1.069,1.604,0.946,3.257
215.4,0.744,0.453,2.231,1.015,1.461,0.993,3.200
183.6,0.560,0.456,2.363,1.118,1.741,0.956,3.134
225.1,0.701,0.448,2.282,0.893,1.571,0.916,3.303
209.3,0.772,0.450,2.261,1.072,1.397,0.996,3.135
187.6,0.501,0.459,2.334,1.262,1.900,0.958,3.102
190.6,0.646,0.480,2.266,1.080,1.617,0.915,3.303
194.1,0.634,0.463,2.356,1.073,1.643,0.945,3.124
195.1,0.635,0.450,2.246,1.098,1.603,0.933,3.082
190.4,0.703,0.448,2.195,1.008,1.683,0.924,3.339
194.6,0.512,0.461,2.314,1.168,1.704,0.916,3.168
188.1,0.635,0.479,2.278,1.055,1.655,0.918,3.329
210.7,0.781,0.476,2.092,0.940,1.338,0.876,3.328
179.2,0.508,0.467,2.406,1.150,1.823,0.913,3.127
194.3,0.591,0.459,2.352,1.102,1.689,0.909,3.156
195.4,0.503,0.479,2.340,1.138,1.725,0.910,3.308
214.0,0.883,0.464,2.119,0.883,1.239,0.885,3.234
197.7,0.526,0.492,2.471,1.037,1.769,0.918,3.177
189.6,0.561,0.462,2.470,1.022,1.647,0.861,3.299
187.2,0.574,0.470,2.446,0.999,1.795,0.825,3.203
206.3,0.761,0.456,2.241,0.882,1.428,0.849,3.192
175.1,0.531,0.460,2.254,1.153,1.768,0.967,3.162
175.1,0.517,0.471,2.330,1.173,1.812,0.831,3.083
175.2,0.461,0.449,2.465,1.190,1.950,0.909,3.181
190.7,0.504,0.438,2.311,1.290,1.733,0.862,2.963
220.5,0.584,0.432,2.179,0.956,1.540,0.907,3.165
189.7,0.558,0.465,2.226,1.075,1.779,0.864,3.189
193.2,0.685,0.472,2.238,1.088,1.754,0.996,3.200
186.7,0.500,0.464,2.378,1.190,1.792,0.920,3.236
191.3,0.517,0.461,2.382,1.143,1.702,0.891,3.172
189.3,0.485,0.470,2.521,1.214,1.834,0.911,3.271
200.8,0.531,0.440,2.325,1.117,1.811,0.883,3.153
192.4,0.682,0.452,2.380,0.944,1.602,0.900,3.101
228.3,0.855,0.456,2.253,0.875,1.151,0.855,3.227
199.3,0.618,0.457,2.418,0.978,1.620,0.953,3.172
186.0,0.560,0.483,2.229,1.135,1.811,0.946,3.174
202.9,0.645,0.458,2.169,1.121,1.446,0.977,3.091
204.1,0.635,0.457,2.252,1.057,1.537,0.886,3.154
210.4,0.822,0.465,2.218,0.927,1.448,0.934,3.271
179.2,0.544,0.457,2.460,1.063,1.818,0.947,3.105
196.0,0.548,0.459,2.429,1.099,1.700,0.885,3.293
172.6,0.503,0.463,2.615,1.186,2.000,0.929,3.260
182.3,0.659,0.458,2.161,1.049,1.510,0.987,3.099
193.0,0.514,0.461,2.555,1.196,1.682,0.958,3.217
193.9,0.581,0.482,2.287,1.027,1.686,0.820,3.305
172.7,0.491,0.471,2.353,1.210,1.881,0.959,3.148
201.9,0.701,0.455,2.325,0.872,1.561,0.829,3.249
172.0,0.583,0.457,2.305,1.197,1.763,0.952,2.968
167.4,0.482,0.471,2.386,1.259,1.873,0.943,3.172
200.9,0.609,0.473,2.287,1.006,1.625,0.835,3.118
191.9,0.611,0.451,2.277,1.067,1.550,0.932,3.152
205.4,0.657,0.468,2.120,1.105,1.468,0.942,3.242
189.3,0.609,0.454,2.353,1.039,1.615,0.972,3.226
180.2,0.504,0.480,2.535,1.070,1.855,0.903,3.312
179.5,0.523,0.479,2.429,1.155,1.857,0.925,3.261
206.1,0.725,0.459,2.192,1.034,1.463,0.976,3.097
193.6,0.498,0.467,2.407,1.230,1.693,0.931,3.204
183.8,0.537,0.465,2.426,1.105,1.848,0.964,3.165
191.8,0.545,0.454,2.400,1.138,1.642,0.904,3.073
200.7,0.749,0.483,2.305,0.891,1.562,0.830,3.272
194.8,0.547,0.465,2.360,1.162,1.750,1.001,3.197
192.7,0.536,0.461,2.340,1.120,1.817,0.904,3.205
175.9,0.556,0.477,2.347,1.219,1.812,0.971,3.112
199.5,0.596,0.461,2.458,1.103,1.865,0.977,3.226
190.3,0.572,0.466,2.375,1.094,1.780,0.899,3.230
194.3,0.594,0.449,2.289,1.117,1.800,0.914,3.242
185.2,0.516,0.473,2.441,1.247,1.821,0.931,3.234
186.6,0.614,0.481,2.373,1.146,1.661,0.959,3.265
184.1,0.517,0.459,2.332,1.175,1.866,0.883,3.321
185.3,0.568,0.487,2.221,1.141,1.715,0.885,3.343
174.4,0.496,0.475,2.397,1.260,1.861,0.910,3.390
198.5,0.500,0.458,2.347,1.139,1.765,0.917,3.232
197.5,0.625,0.454,2.274,1.055,1.598,0.854,3.211
193.8,0.550,0.459,2.398,1.088,1.721,0.896,3.140
201.4,0.532,0.467,2.312,1.130,1.681,0.907,3.283
199.0,0.544,0.459,2.344,0.993,1.728,0.916,3.176
179.0,0.585,0.473,2.480,1.063,1.743,0.937,3.399
183.5,0.551,0.470,2.401,1.058,1.761,0.915,2.967
179.2,0.560,0.481,2.390,1.199,1.721,0.973,3.231
188.1,0.611,0.453,2.249,0.984,1.563,1.002,3.085
173.3,0.566,0.476,2.316,1.076,1.778,0.944,3.223
201.2,0.688,0.470,2.195,1.159,1.462,1.015,3.309
213.7,0.693,0.479,2.374,1.073,1.459,1.004,3.171
192.3,0.623,0.451,2.186,1.104,1.499,0.873,3.178
189.0,0.527,0.456,2.396,1.177,1.875,0.903,3.196
183.3,0.506,0.476,2.372,1.106,1.802,0.834,3.144
181.0,0.548,0.454,2.435,1.183,1.727,0.936,3.267
188.5,0.596,0.434,2.417,1.138,1.635,1.017,3.087
208.6,0.482,0.443,2.284,1.201,1.919,0.923,3.180
196.1,0.493,0.459,2.222,1.173,1.886,0.945,3.218
187.2,0.495,0.472,2.355,1.186,1.912,0.944,3.209
193.6,0.479,0.443,2.252,1.076,1.888,0.844,3.204
200.6,0.627,0.455,2.311,1.039,1.581,0.935,3.174
199.1,0.540,0.437,2.302,1.055,1.774,0.907,3.130
185.3,0.539,0.483,2.471,1.208,1.776,0.974,3.215
194.3,0.638,0.467,2.368,1.092,1.613,0.966,3.355
196.2,0.557,0.466,2.337,1.002,1.792,0.860,3.208
188.6,0.549,0.476,2.404,1.139,1.822,0.897,3.169
182.9,0.530,0.464,2.336,1.184,1.801,0.899,3.327
182.5,0.481,0.465,2.458,1.219,1.893,0.914,3.194
175.0,0.513,0.480,2.429,1.256,1.853,0.933,3.423
186.1,0.606,0.470,2.267,1.016,1.609,0.894,3.262
185.8,0.562,0.463,2.301,1.113,1.616,0.891,3.067
171.8,0.507,0.458,2.444,1.297,1.934,0.988,3.099
181.5,0.505,0.474,2.363,1.283,1.740,0.914,3.261
203.0,0.692,0.457,2.264,1.021,1.617,0.927,3.267
185.8,0.519,0.453,2.405,1.203,1.817,0.961,3.293
201.1,0.510,0.457,2.372,1.190,1.652,0.968,3.188
212.9,0.862,0.474,2.030,1.016,1.293,0.906,3.237
194.2,0.563,0.450,2.321,1.158,1.673,0.930,3.183
198.2,0.780,0.461,2.248,0.876,1.593,0.864,3.347
